,f1_height,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stracc,f1_strdef,f1_subavg,f1_tdacc,f1_tdavg,f1_tddef,f1_weight,f1_dob,f1_wins,f1_losses,f1_cumtime,f2_height,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stracc,f2_strdef,f2_subavg,f2_tdacc,f2_tdavg,f2_tddef,f2_weight,f2_dob,f2_wins,f2_losses,f2_cumtime
0,177.8,187.96,1.85,2.41,1.0,0.4,0.63,1.3,0.33,2.22,0.6,65.83,41.0,13.0,5.0,3875.0,0.0,57.946682773104385,1.03,2.56,0.0,0.83,0.5,7.7,0.0,0.0,0.33,0.0,41.0,0.0,1.0,117.0
0,185.42,185.42000000000002,2.51,3.25,0.0,0.54,0.55,0.1,0.56,1.52,0.73,93.07000000000001,39.0,21.0,10.0,8485.0,180.34,184.567339234908,3.42,1.52,0.0,0.33,0.38,0.4,0.41,1.87,0.66,93.07000000000001,39.0,1.0,4.0,1202.0
0,190.5,195.58,2.4,1.95,0.0,0.42,0.55,2.4,0.29,1.3,0.36,108.96000000000001,41.0,23.0,9.0,7398.0,180.34,184.567339234908,3.42,1.52,0.0,0.33,0.38,0.4,0.41,1.87,0.66,93.07000000000001,39.0,1.0,4.0,1202.0
0,180.34,184.567339234908,3.42,1.52,0.0,0.33,0.38,0.4,0.41,1.87,0.66,93.07000000000001,39.0,1.0,4.0,1202.0,193.04,198.12,1.77,2.37,0.0,0.5,0.54,0.7,0.5,1.22,0.32,113.5,39.0,14.0,8.0,5605.0
0,187.96,189.9175078178011,1.53,2.81,0.0,0.52,0.47,1.4,0.42,2.09,0.71,93.07000000000001,51.0,4.0,3.0,1680.0,180.34,184.567339234908,3.42,1.52,0.0,0.33,0.38,0.4,0.41,1.87,0.66,93.07000000000001,39.0,1.0,4.0,1202.0
0,180.34,184.567339234908,3.42,1.52,0.0,0.33,0.38,0.4,0.41,1.87,0.66,93.07000000000001,39.0,1.0,4.0,1202.0,185.42,188.13411829017005,1.51,0.81,0.0,0.33,0.67,0.0,0.0,0.0,0.6,88.53,46.0,1.0,1.0,509.0
0,182.88,182.88,3.53,1.66,0.0,0.34,0.37,0.5,0.0,0.0,0.37,70.37,31.0,1.0,3.0,969.0,175.26,175.26,3.16,4.59,0.0,0.41,0.65,0.9,0.55,1.52,0.37,70.37,30.0,3.0,2.0,985.0
0,185.42,185.42000000000002,4.01,4.18,0.0,0.47,0.54,1.6,0.42,1.36,0.7,77.18,34.0,25.0,8.0,6854.0,175.26,175.26,3.16,4.59,0.0,0.41,0.65,0.9,0.55,1.52,0.37,70.37,30.0,3.0,2.0,985.0
0,175.26,177.8,3.97,2.67,0.0,0.32,0.57,0.5,0.31,0.65,0.53,65.83,34.0,5.0,7.0,2577.0,175.26,175.26,3.16,4.59,0.0,0.41,0.65,0.9,0.55,1.52,0.37,70.37,30.0,3.0,2.0,985.0
0,175.26,175.26,3.16,4.59,0.0,0.41,0.65,0.9,0.55,1.52,0.37,70.37,30.0,3.0,2.0,985.0,177.8,180.34,2.96,2.71,0.0,0.38,0.63,0.0,0.16,0.28,0.53,70.37,34.0,3.0,3.0,1106.0
0,185.42,190.5,2.41,3.94,0.0,0.46,0.65,0.2,0.45,0.5,0.53,70.37,37.0,7.0,8.0,3232.0,175.26,175.26,3.16,4.59,0.0,0.41,0.65,0.9,0.55,1.52,0.37,70.37,30.0,3.0,2.0,985.0
0,177.8,177.8,1.5,3.82,0.0,0.5,0.7,0.6,0.48,6.15,0.83,70.37,29.0,8.0,0.0,1812.0,177.8,177.8,8.69,0.7,1.0,0.22,0.28,0.0,0.0,0.0,0.33,72.64,30.0,0.0,1.0,218.0
0,160.02,170.3002230138597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.83,38.0,1.0,1.0,600.0,172.72,179.2171706520149,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.83,36.0,0.0,1.0,300.0
0,172.72,179.2171706520149,2.49,1.73,0.0,0.47,0.42,2.9,0.4,2.88,0.5,70.37,47.0,3.0,5.0,1403.0,180.34,184.567339234908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.18,44.0,4.0,2.0,1073.0
0,172.72,179.2171706520149,2.49,1.73,0.0,0.47,0.42,2.9,0.4,2.88,0.5,70.37,47.0,3.0,5.0,1403.0,180.34,184.567339234908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.18,44.0,4.0,2.0,1073.0
0,180.34,184.567339234908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.18,44.0,4.0,2.0,1073.0,172.72,179.2171706520149,17.86,1.43,0.0,0.09,0.43,0.0,0.0,0.0,0.0,77.18,40.0,0.0,2.0,384.0
0,180.34,184.567339234908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.18,44.0,4.0,2.0,1073.0,0.0,57.946682773104385,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,1.0,412.0
0,180.34,184.567339234908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.18,44.0,4.0,2.0,1073.0,175.26,181.0005601796459,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.64,44.0,0.0,1.0,75.0
0,175.26,180.34,1.9,2.79,1.0,0.46,0.56,0.8,0.47,2.35,0.75,77.18,45.0,8.0,5.0,2830.0,180.34,184.567339234908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.18,44.0,4.0,2.0,1073.0
0,193.04,195.58,2.24,3.44,0.0,0.51,0.58,1.3,0.31,1.67,0.34,104.87400000000001,40.0,20.0,6.0,5693.0,185.42,188.13411829017005,2.89,0.7,0.0,0.43,0.49,0.0,0.0,0.0,0.0,99.88000000000001,43.0,0.0,2.0,303.0
0,182.88,186.350728762539,3.03,3.9,0.0,0.44,0.54,1.0,0.53,1.16,0.7,111.23,37.0,12.0,5.0,3931.0,193.04,195.58,2.24,3.44,0.0,0.51,0.58,1.3,0.31,1.67,0.34,104.87400000000001,40.0,20.0,6.0,5693.0
